,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MON1B,574.9098769,0.149636818,0.036961957,4.048400833,5.16E-05,0.000204129
IFT27,475.243353,0.149623677,0.045370157,3.297843518,0.000974304,0.002780537
LCE1A,0.068773601,0.14960004,2.017995217,0.074133,0.940904557,0.958687622
IDH2,4393.666149,0.149567081,0.060463011,2.47369554,0.01337236,0.027845111
ITCH,1442.295951,0.149564381,0.032624237,4.584456094,4.55E-06,2.34E-05
ZBED4,811.425806,0.149517977,0.042339217,3.531429884,0.000413319,0.001295472
ACOT4,284.9829531,0.149513002,0.070515932,2.120272654,0.033983058,0.062461167
GEN1,392.1109623,0.149458216,0.046704099,3.200109216,0.001373755,0.003749703
DHX36,1007.210063,0.149447706,0.034718255,4.304585734,1.67E-05,7.46E-05
FAM96B,600.2350511,0.149254404,0.04998172,2.986179792,0.002824865,0.007102834
GMPS,1677.913408,0.149251242,0.045861781,3.254370788,0.001136438,0.003171286
MRPL36,426.7296136,0.149250562,0.044501034,3.353867303,0.000796906,0.002327155
NEU1,2170.396204,0.149214617,0.039507502,3.776867908,0.000158813,0.000557103
HDAC9,182.2538879,0.149119244,0.098674335,1.511226238,0.13073082,0.197230898
RAN,4405.850667,0.149074394,0.035881679,4.154610347,3.26E-05,0.000135427
C16orf53,1560.821626,0.148938259,0.0444843,3.348108385,0.000813652,0.002369361
TTF2,451.6682904,0.148922541,0.047047461,3.165368292,0.001548868,0.004181043
METTL2B,334.8726312,0.148804955,0.033553063,4.43491416,9.21E-06,4.40E-05
ACE,633.9455725,0.148760901,0.063214465,2.353273133,0.018608959,0.037040672
B4GALT4,569.5509455,0.148758047,0.035710821,4.165629447,3.10E-05,0.000129715
NAP1L2,53.19006874,0.148749789,0.102756128,1.447600175,0.147728902,0.218793586
GTF2IRD1,744.6067104,0.148719771,0.03509797,4.237275561,2.26E-05,9.79E-05
SPCS3,2628.142238,0.148630547,0.034723839,4.280360488,1.87E-05,8.21E-05
TBCK,556.8742101,0.148613807,0.041110698,3.614966754,0.000300386,0.000977582
GPR135,9.565123223,0.148564964,0.065324207,2.274271199,0.022949686,0.044444107
SSR1,4585.637488,0.148536094,0.03442139,4.315226478,1.59E-05,7.16E-05
HEATR7A,843.8937403,0.148419866,0.046309388,3.204962812,0.001350799,0.003696265
WFS1,2047.054491,0.148206969,0.055087583,2.690387932,0.0071369,0.016087651
NT5C,380.8817718,0.148195413,0.057562991,2.574491175,0.010038765,0.02169426
EXOC6B,166.6202897,0.148045149,0.066172101,2.237274425,0.02526841,0.048355505
NSUN3,118.755875,0.148026754,0.02995172,4.942178789,7.73E-07,4.77E-06
TXLNG,262.7022745,0.147980526,0.055570006,2.66295679,0.007745736,0.017283364
RMND5B,908.5423433,0.147891549,0.039179149,3.774751443,0.000160167,0.000561325
ADSSL1,136.1277597,0.147829916,0.072131753,2.049442989,0.040418817,0.072590728
WHSC1,1921.778207,0.147720482,0.041108636,3.593417212,0.000326369,0.001050743
FBXO28,1581.807118,0.147684106,0.038749707,3.81123158,0.000138276,0.000491428
TMPO-AS1,80.12562682,0.147639491,0.056885976,2.595358319,0.009449235,0.020574377
EPS8,1102.830364,0.147547037,0.052768442,2.796122643,0.005171977,0.012108963
LNX2,681.0503659,0.14752651,0.048262729,3.056737861,0.002237599,0.005788997
SEC62,3804.058231,0.14748441,0.033601345,4.389241244,1.14E-05,5.30E-05
CACNB3,875.6117581,0.147463249,0.053253905,2.769059824,0.005621831,0.013032586
ALDH3B1,296.960226,0.147418736,0.065267193,2.258695832,0.023902312,0.046049213
ZNF611,237.8472713,0.147380811,0.045297073,3.253649774,0.001139326,0.003178391
BYSL,593.2092868,0.147351871,0.048355403,3.047267976,0.002309317,0.005947244
PBLD,179.396953,0.147322584,0.05103331,2.886792646,0.003891906,0.00940833
DHDPSL,16.23287027,0.147299085,0.121800145,1.209350654,0.226528158,0.313365356
BBS4,456.3699134,0.147298283,0.046544951,3.164645768,0.001552719,0.004189615
KLHL20,398.3641918,0.147271214,0.034187825,4.307709347,1.65E-05,7.37E-05
CCDC142,179.6109955,0.147198712,0.036320492,4.052773051,5.06E-05,0.000201148
ATF6,1938.669383,0.147142953,0.039096548,3.763579208,0.000167499,0.000583719
AFF4,3382.744018,0.147118987,0.047127431,3.121727248,0.001797934,0.004770297
NDC80,335.2797683,0.147082621,0.078792195,1.866715621,0.061941311,0.10454142
GAA,3314.933857,0.147035002,0.047988536,3.063960991,0.002184274,0.005666803
PAIP1,1398.773626,0.146980997,0.029435944,4.993249034,5.94E-07,3.76E-06
CCT8,4423.085935,0.146973553,0.034555534,4.253256606,2.11E-05,9.17E-05
CEP152,98.63751972,0.146965324,0.053674382,2.738090664,0.006179704,0.014186165
TDP2,948.8688965,0.146907445,0.028739286,5.111729096,3.19E-07,2.16E-06
TCEANC,61.81836812,0.146861759,0.038806707,3.784442646,0.000154053,0.000541736
WBSCR27,65.60598131,0.146858709,0.095404301,1.53933007,0.123723736,0.188232129
LARP1B,487.8618356,0.146592703,0.038709782,3.786967936,0.000152497,0.000536566
RBAKDN,6.936370907,0.146547544,0.134939812,1.086021551,0.277469458,0.370470527
KLKP1,5.284832986,0.146460994,0.120343045,1.217029159,0.223593122,0.309714169
BRD7,1171.490698,0.146375074,0.0337664,4.334932789,1.46E-05,6.60E-05
SPRED2,1401.351078,0.146308379,0.049381973,2.962789293,0.003048652,0.007590612
CHD1,1281.74808,0.146284262,0.050254653,2.910860061,0.003604354,0.008795248
ACSL6,27.82857656,0.146229034,0.127769687,1.144473603,0.252427279,0.342593036
PIGN,784.4682472,0.146222622,0.042687648,3.425408254,0.000613876,0.001840639
MRPS12,679.508284,0.146197867,0.055474908,2.635387269,0.008404134,0.018539732
CYB5RL,81.12820666,0.146133474,0.048584558,3.007817284,0.002631313,0.006669442
ACER2,128.6103555,0.146122112,0.083597313,1.747928332,0.080476438,0.130837524
CDC7,264.3884031,0.146113547,0.068241237,2.141132753,0.032263334,0.059696155
FBXO21,1249.726324,0.146018381,0.033138224,4.40634292,1.05E-05,4.94E-05
PCDH17,222.2663301,0.145990553,0.061652835,2.367945502,0.01788717,0.035803216
NCAPG2,733.4303492,0.145926495,0.053164585,2.74480645,0.00605466,0.01391457
MAP3K3,812.355633,0.145895947,0.036265307,4.023016966,5.75E-05,0.000224506
SHANK2,1043.917024,0.14588409,0.069497472,2.099128023,0.035805617,0.065353157
SPRR1A,6.44700951,0.14584658,0.299178708,0.48748984,0.625911241,0.708233667
BAIAP2-DT,689.0160154,0.145767104,0.048464786,3.007691068,0.002632406,0.006669442
SNN,914.4358147,0.145740074,0.042406825,3.436712704,0.00058882,0.001774378
C15orf23,392.8469684,0.145710182,0.050853675,2.865283228,0.004166364,0.00999229
C6orf26,31.16294056,0.14564178,0.080817653,1.802103565,0.071529113,0.118139594
TMEM120B,455.0070083,0.145640892,0.042086858,3.460483816,0.000539206,0.001641088
TMEM106A,176.0158539,0.145363979,0.049136933,2.958344601,0.003092961,0.007685503
CATSPERG,35.00256175,0.145362648,0.082670347,1.758340848,0.078689531,0.128280006
HINT1,3528.19631,0.145302321,0.040000985,3.632468567,0.000280723,0.000921653
SMC4,2130.127226,0.145290656,0.052843415,2.749456199,0.005969424,0.013750968
PLBD1,797.455141,0.145207945,0.070821184,2.050346201,0.040330659,0.072460387
MRPS33,715.467137,0.145112238,0.038966453,3.724029943,0.000196068,0.000671701
GFM2,672.405054,0.145089374,0.036073779,4.022017625,5.77E-05,0.000225224
RNASEN,1423.629168,0.145085912,0.031063685,4.670595635,3.00E-06,1.61E-05
TMEM8A,1504.616189,0.145066844,0.044419587,3.265830564,0.001091435,0.00306548
TMEM111,1358.215876,0.145035638,0.036174957,4.009282959,6.09E-05,0.000236234
CASKIN2,860.7841816,0.144984314,0.038387352,3.776877217,0.000158807,0.000557103
FAHD1,749.1352706,0.144965836,0.039388493,3.680410791,0.000232859,0.000781052
MYH8,0.516111274,0.144927373,0.156338932,0.927007565,0.353922607,0.451017921
GPR115,15.35570777,0.144920862,0.170922456,0.847874908,0.39650764,0.495351204
CORO2A,1162.436949,0.144874597,0.061950008,2.338572697,0.019357559,0.03832158
TMEM14B,983.6167973,0.144850238,0.038079206,3.80391961,0.000142424,0.000504755
DYNLRB1,2474.81878,0.144828207,0.046655398,3.10421118,0.001907871,0.00503112
TRAIP,127.4688268,0.144795761,0.050532571,2.865394715,0.004164897,0.00999006
CPA6,44.24098342,0.144784531,0.205746146,0.703704706,0.481616689,0.577461887
SYAP1,2044.706139,0.144770902,0.046801308,3.093308902,0.00197938,0.005189524
ISG15,2589.499895,0.144708361,0.113398468,1.276105073,0.201918378,0.284549168
PSEN2,715.8521324,0.14469256,0.041015259,3.52777389,0.00041907,0.001311344
THSD4,2920.1739,0.144686922,0.10011724,1.445174893,0.148408767,0.219660565
CHCHD4,310.3489018,0.144577766,0.036045123,4.011021614,6.05E-05,0.000234795
CCT3,9521.226011,0.144536255,0.037779563,3.825778856,0.000130359,0.000466978
AGA,586.6104076,0.144497385,0.040158448,3.598181506,0.00032045,0.001033833
HERC6,710.2695465,0.144466765,0.093064491,1.55232962,0.120583374,0.184233796
PAFAH1B3,1357.188584,0.144454143,0.057243872,2.523486602,0.011619749,0.024594937
HSPA1L,76.67885883,0.144390181,0.042584408,3.390681924,0.00069719,0.002064156
GNAS,31632.76106,0.144361412,0.050947704,2.833521463,0.004603822,0.010923138
CENPBD1,307.3763493,0.144347188,0.040770971,3.540440279,0.00039946,0.001256478
SNX27,1561.280142,0.144326233,0.037129029,3.887153451,0.000101427,0.000373403
SLITRK4,56.45783122,0.144325115,0.095927196,1.504527615,0.132445568,0.199348962
PPP5C,1160.346356,0.144257128,0.028797195,5.009415882,5.46E-07,3.49E-06
C9orf25,528.7340232,0.144255296,0.042674068,3.380397115,0.000723812,0.002137532
KCTD15,778.2809205,0.144239204,0.05196734,2.775574097,0.005510434,0.012804668
HOXD8,194.8425772,0.144024582,0.084927149,1.695860314,0.089912337,0.143839631
PSMA3,1527.028379,0.143927053,0.039131137,3.678069767,0.000235006,0.000786835
SNORD116-20,6.540058895,0.143901576,0.097167629,1.480962094,0.138616675,0.207345306
ARHGAP32,2166.621317,0.143881429,0.060993365,2.35896852,0.01832581,0.036567841
CKS1B,1054.615052,0.143863337,0.059310461,2.425598017,0.015283188,0.031284615
CETN3,320.7670003,0.143848599,0.036066087,3.988472586,6.65E-05,0.000255588
MS4A15,82.2290437,0.143792534,0.176472376,0.814816105,0.415177581,0.513696636
GPATCH8,1245.972318,0.143752869,0.031048394,4.629961563,3.66E-06,1.92E-05
SLC7A6,892.1589092,0.143749594,0.035991584,3.993977932,6.50E-05,0.000250404
EXOC7,3049.582223,0.143719944,0.030784446,4.668589545,3.03E-06,1.63E-05
OMG,2.010219771,0.143703548,0.066085834,2.174498501,0.029667718,0.055506477
PGAM5,512.0092512,0.143628976,0.03949188,3.636924271,0.000275913,0.000907945
PSMD10,1121.388977,0.143557794,0.029791644,4.818726905,1.44E-06,8.36E-06
PABPC1,36005.70222,0.143536924,0.055669848,2.578360271,0.009927044,0.02150648
CNIH,1301.749837,0.143527213,0.033590923,4.272797474,1.93E-05,8.47E-05
SPCS2P4,2041.201953,0.143427627,0.046982873,3.052764077,0.002267441,0.005856428
USP36,1382.967031,0.143357253,0.035513485,4.036699154,5.42E-05,0.0002132
LYNX1,374.4940554,0.143252683,0.105390773,1.359252602,0.174066558,0.251180379
CHUK,599.6015616,0.143193161,0.031519528,4.542998191,5.55E-06,2.79E-05
R3HDM2,1407.28376,0.14309762,0.029409505,4.865692961,1.14E-06,6.75E-06
INCENP,468.3502965,0.143076111,0.052002795,2.751315807,0.005935639,0.013678224
CMPK2,400.7487736,0.143035455,0.08798395,1.625699406,0.104013617,0.162649172
CSE1L,3492.512231,0.142974193,0.045723523,3.126928612,0.001766428,0.004693298
PANX1,507.4719341,0.142970541,0.039247755,3.642769939,0.00026972,0.000888981
PSMC6,1283.231323,0.142930732,0.030117766,4.745728148,2.08E-06,1.16E-05
HSDL2,1232.414722,0.142923493,0.047639561,3.000100987,0.002698901,0.006818373
RUVBL1,1297.080649,0.142893652,0.039387854,3.627860789,0.000285779,0.000936021
HCN3,116.8638129,0.142859012,0.060760673,2.351175599,0.0187142,0.037209776
YDJC,374.3522764,0.142714115,0.056558107,2.523318451,0.011625307,0.024603902
KIFAP3,1243.85161,0.142686115,0.033761668,4.226275666,2.38E-05,0.000102196
VAV3,3953.231324,0.142652211,0.08341325,1.710186462,0.087231398,0.140284472
TPM3P9,138.7480121,0.142624679,0.051040726,2.794330921,0.005200723,0.012164803
SLC38A4,19.20341947,0.142624083,0.115792665,1.231719495,0.218053885,0.303311959
INS,0.04413085,0.142609403,2.18580823,0.065243328,0.947980264,0.96355831
DDB1,7004.437403,0.142562827,0.029680375,4.803269115,1.56E-06,8.97E-06
PCDHGA7,35.33876765,0.142498729,0.113647014,1.253871298,0.209888789,0.293777964
RNF6,950.3049921,0.142436883,0.039206503,3.632991249,0.000280155,0.00091995
NLRP7,15.80636971,0.142374257,0.138067064,1.031196384,0.302448736,0.397347181
POC1B,435.7917294,0.142368415,0.039677902,3.588103367,0.000333092,0.001069057
EXPH5,290.2244459,0.142344569,0.058500334,2.433226597,0.014964932,0.030704112
RBM12,2082.880519,0.142332182,0.02516444,5.656083723,1.55E-08,1.39E-07
OTOP1,0.259759341,0.142327943,0.661028251,0.21531295,0.829523334,0.875712594
TIPIN,119.8096079,0.142180121,0.043969412,3.233614373,0.001222344,0.003386619
CUX1,1409.200838,0.142160292,0.044133932,3.221110997,0.001276947,0.00351903
NR2F6,1432.671432,0.142159147,0.048133254,2.953449741,0.003142438,0.007800107
ANKRD52,1519.045109,0.142126926,0.037486803,3.7913856,0.000149809,0.000527908
PSMF1,2819.167349,0.142074548,0.028668096,4.955841866,7.20E-07,4.48E-06
HEXIM1,1541.951977,0.142072822,0.046876969,3.030759571,0.002439394,0.006239039
CDC23,855.1575235,0.142036952,0.027055381,5.249859724,1.52E-07,1.11E-06
GOT1,970.9495333,0.142021165,0.038543485,3.68469959,0.000228973,0.000769267
C17orf108,216.0195364,0.14183776,0.054950679,2.58118302,0.009846237,0.021348817
STAM,610.1541515,0.141780095,0.03232521,4.38605331,1.15E-05,5.37E-05
PLCXD1,348.6969384,0.141775523,0.060734795,2.334337744,0.019578044,0.038712741
PFN4,7.578782284,0.141745515,0.069161089,2.049498036,0.04041344,0.072590728
ZDHHC9,1594.653251,0.141713214,0.038830622,3.649522106,0.000262729,0.000868555
MIPEP,603.3730576,0.141707753,0.049669092,2.853036933,0.004330359,0.01034558
HMGB3,1700.446442,0.141567951,0.072315912,1.957632101,0.050273198,0.087435123
TADA1,433.1335811,0.141564637,0.032695087,4.329844303,1.49E-05,6.74E-05
HTT,2474.359456,0.141559472,0.041707399,3.394109304,0.000688522,0.002041419
MAGEB3,0.136032124,0.14137661,0.882484907,0.160202864,0.872721273,0.90817115
MTMR15,543.5828927,0.141362532,0.03752243,3.767414104,0.000164947,0.000575907
DENR,1819.74699,0.141318158,0.029354918,4.814122009,1.48E-06,8.54E-06
CCRL2,74.09740935,0.141317486,0.062908268,2.24640559,0.024678041,0.047337755
C4orf19,171.4157155,0.141308564,0.115930805,1.218904366,0.222880492,0.308916781
UNC13C,1.94544629,0.141197437,0.157082309,0.898875488,0.368718986,0.4667078
AAGAB,1696.798915,0.141152683,0.035711244,3.952611815,7.73E-05,0.000292524
UTP15,340.7555432,0.141135741,0.03168614,4.454179041,8.42E-06,4.06E-05
LCN1,0.35979827,0.141091874,0.262498909,0.537495087,0.590925678,0.677471903
CENPA,162.9793796,0.141052562,0.087897889,1.604732071,0.108552781,0.168613093
GM2A,2439.198722,0.14105109,0.042649017,3.307253047,0.000942157,0.002699613
PPP1R11,1814.395649,0.141003097,0.027122386,5.198771869,2.01E-07,1.42E-06
UBR3,1202.129177,0.140951525,0.038973454,3.616603356,0.000298494,0.000972446
PI4K2B,659.6735938,0.140943651,0.03891183,3.622128571,0.000292189,0.000954579
C1orf83,202.8624165,0.14091291,0.030485418,4.622305338,3.79E-06,1.98E-05
USP30,453.8592152,0.14089275,0.035208794,4.001635177,6.29E-05,0.00024309
ALS2,614.03576,0.140860395,0.030429056,4.629141163,3.67E-06,1.93E-05
KCNK12,4.207149155,0.140855103,0.137086744,1.027488869,0.304190324,0.399268584
MAP3K2,707.7805706,0.140845981,0.050303965,2.799898218,0.005111872,0.011980306
PPP1R15B,2169.581262,0.140727749,0.033263688,4.230671884,2.33E-05,0.000100451
TMOD3,1557.096263,0.140724838,0.038393499,3.665329807,0.00024702,0.000822177
PRR34-AS1,60.08378376,0.140716275,0.071267745,1.97447352,0.048327925,0.084579404
NEBL,2957.058484,0.140692009,0.061987013,2.269701361,0.023225709,0.044889843
MINPP1,499.0136456,0.140633062,0.03746955,3.753262668,0.000174548,0.000605561
HIST1H3A,0.938447892,0.140569036,0.164785809,0.853040908,0.393636619,0.492548942
GPATCH2,610.2072258,0.140502622,0.056726377,2.476848137,0.013254829,0.027646805
PLXND1,3350.10554,0.140449467,0.047967871,2.927990436,0.003411605,0.008393181
MAPT,2625.655247,0.140412085,0.116851561,1.201627801,0.229507765,0.316782142
PFN2,2279.940751,0.140369384,0.067627226,2.075634196,0.037927796,0.06870742
TOR1B,646.3074354,0.140363333,0.029504823,4.757301355,1.96E-06,1.10E-05
IPO9,2690.023881,0.140357703,0.033145808,4.234553702,2.29E-05,9.89E-05
LRRC58,1416.667569,0.140353489,0.04116881,3.409219022,0.000651492,0.00194153
EIF4G2,19522.63924,0.140353009,0.031107325,4.511895781,6.43E-06,3.19E-05
APAF1,527.4775059,0.140340619,0.037394833,3.752941416,0.000174772,0.000606225
PPP2R5E,848.6974642,0.140323415,0.038042906,3.68855668,0.00022553,0.000759896
CHORDC1,578.6621809,0.140322427,0.049174414,2.853565831,0.004323157,0.010329702
LINC00326,0.120717485,0.140282671,1.050106401,0.133589007,0.893727578,0.923468845
HIST2H2BF,100.768595,0.140241773,0.083894783,1.671638789,0.094595571,0.150169258
GOLGA5,1647.736418,0.140138841,0.031451597,4.455698724,8.36E-06,4.04E-05
C11orf84,476.6338,0.140123083,0.046651065,3.003641704,0.002667693,0.006750533
LOC100133985,10.36432733,0.140099596,0.082132177,1.705782088,0.088048659,0.141307879
POLR2C,1286.619635,0.140065683,0.033186421,4.220572047,2.44E-05,0.00010443
HRASLS,55.20855838,0.140007157,0.127320777,1.09964108,0.271488536,0.363869372
NAE1,823.178399,0.139837501,0.039088169,3.57748914,0.000346911,0.001108053
ZMAT5,333.9952585,0.13983198,0.044446259,3.146091099,0.001654685,0.004429401
C10orf12,136.1495996,0.139810925,0.054302223,2.574681442,0.010033245,0.021688554
C14orf109,356.9547962,0.139770748,0.036579127,3.821051993,0.000132884,0.00047465
LOC100131496,1.718268709,0.139731221,0.071755323,1.947328978,0.051495307,0.089201938
FAM18B,701.4168615,0.139723982,0.041765759,3.345419427,0.000821582,0.002388715
PGM2L1,579.7678296,0.139709465,0.070155798,1.991417229,0.046435037,0.081769101
APLP2,13174.27944,0.139674818,0.048382875,2.886864796,0.003891014,0.00940833
ATP13A3,2416.183934,0.139657644,0.044198441,3.159786654,0.001578847,0.004251481
LOC727896,27.14942311,0.139653235,0.050150677,2.784672982,0.005358173,0.0124977
CDR2,934.0329834,0.139448605,0.038055906,3.664309189,0.000248007,0.000824647
CCDC51,334.2865847,0.139375933,0.03743497,3.72314803,0.000196754,0.000673804
ZNF449,169.2731307,0.139303871,0.033924462,4.106295644,4.02E-05,0.000163673
MFSD8,315.9983231,0.139234466,0.032319462,4.308068844,1.65E-05,7.37E-05
WNT2,224.6400336,0.139209373,0.085994554,1.618816159,0.105486824,0.164593074
KPNA3,1045.42376,0.139113596,0.035863792,3.878942721,0.000104911,0.000384482
C11orf45,49.3248576,0.13906359,0.062140501,2.23788974,0.025228246,0.048293552
RHBDD3,387.3977363,0.139032273,0.054726462,2.540494463,0.011069585,0.023594225
LCE1E,0.084153094,0.138998723,1.0707095,0.129819268,0.896709419,0.925778433
CTH,69.81212443,0.138955058,0.061460594,2.260880499,0.023766658,0.045835346
ZNF517,320.0455324,0.138902822,0.04937486,2.813229706,0.00490466,0.011554373
CLN3,1895.631365,0.138889094,0.047036628,2.952785943,0.003149203,0.007812981
PAK1IP1,419.8151781,0.138885659,0.046852173,2.964337607,0.003033353,0.007559254
RRP7B,119.3838368,0.138868106,0.066861643,2.076947257,0.037806427,0.068527604
BEND3,206.9650982,0.138817872,0.062818898,2.209810699,0.027118303,0.051372308
DNAJC14,1373.796932,0.138810026,0.026138196,5.310619997,1.09E-07,8.22E-07
MASTL,435.2973764,0.138795095,0.049175044,2.822470201,0.004765525,0.0112594
OLR1,397.4531892,0.138788949,0.073924177,1.877450043,0.060456438,0.10238832
CDH2,164.0020481,0.138719509,0.112735965,1.230481407,0.218516885,0.303865088
EIF1AD,646.6348872,0.138595544,0.03032137,4.57088659,4.86E-06,2.48E-05
FXR1,2609.858061,0.138535009,0.031096571,4.454993136,8.39E-06,4.05E-05
RGMB,664.8204787,0.138473087,0.042730697,3.240599746,0.001192785,0.003311631
FBXO33,285.0030903,0.13844947,0.035464896,3.903845429,9.47E-05,0.000351614
MDC1,1129.950504,0.138429225,0.038273831,3.616811269,0.000298255,0.000972006
GTPBP4,1531.463995,0.138411829,0.047191906,2.932956965,0.003357504,0.008276504
CCDC21,503.9802399,0.138362632,0.045340574,3.051629452,0.002276029,0.00587453
VDAC3,2370.527803,0.138361254,0.052679223,2.626486258,0.008627148,0.018964226
STMN3,1111.404345,0.138354727,0.086334389,1.602544809,0.109035187,0.169263454
KIF13A,1174.834886,0.138232493,0.054986625,2.513929408,0.011939433,0.025168482
ZFP62,753.1692847,0.138228575,0.035243824,3.922065206,8.78E-05,0.000328346
MRPS18B,1552.731855,0.138143428,0.034186479,4.040879125,5.33E-05,0.000209924
C18orf19,349.4694809,0.138138876,0.035743588,3.864717607,0.000111218,0.000404723
PIK3CA,565.625646,0.138120027,0.046331422,2.98113072,0.002871862,0.007208334
CHD8,2164.817942,0.138039809,0.029158703,4.734086044,2.20E-06,1.22E-05
DNAJC5G,0.079898156,0.138000678,0.71708592,0.192446503,0.847392469,0.889427344
CCDC138,71.79094557,0.137963843,0.058690477,2.350702377,0.018738015,0.037245735
TCAM1P,23.35486388,0.137962053,0.206134377,0.66928212,0.50331553,0.598348709
OVGP1,78.26341729,0.13792792,0.080181696,1.720192105,0.085397528,0.137754433
TRUB2,780.5282687,0.137925501,0.034768424,3.966975945,7.28E-05,0.000276856
ISCA2,341.0073045,0.137903091,0.038089449,3.620506362,0.000294027,0.000960416
NDUFA8,940.9780084,0.137887891,0.037895761,3.638609896,0.000274114,0.000902983
DTYMK,548.0148808,0.137876104,0.047262509,2.917240451,0.003531434,0.008645669
CLEC2A,0.176163716,0.137763068,0.614730419,0.224103223,0.822676985,0.87006535
OPHN1,343.9991471,0.137748515,0.05742642,2.398695824,0.016453576,0.033357321
ABHD4,933.3419079,0.137746604,0.039480153,3.489008855,0.000484815,0.001490672
VWA3B,6.851170268,0.137708064,0.141398836,0.973898151,0.330107112,0.426217437
UGGT2,471.0482754,0.137611594,0.040402657,3.406003609,0.000659213,0.001962655
NKAP,415.0132022,0.137586172,0.027456958,5.01097651,5.42E-07,3.47E-06
KIAA0513,471.3412344,0.137572404,0.051652636,2.663414967,0.007735196,0.017262648
UTP14C,1200.431862,0.137560595,0.044653168,3.080645779,0.002065522,0.005385008
F5,70.9469359,0.137512809,0.108455167,1.267923075,0.204825423,0.287904175
KRAS,1358.222971,0.137480342,0.04284932,3.208460335,0.001334477,0.003657521
C21orf67,74.418142,0.137343969,0.049385468,2.781060374,0.005418166,0.012613903
EEA1,784.8481378,0.137306161,0.045612072,3.010303095,0.002609871,0.006626757
ERMP1,2579.182009,0.137175,0.057293089,2.394267838,0.016653583,0.033696691
LOC90784,342.0408904,0.137162118,0.046790266,2.931424204,0.003374117,0.008310846
CISD1,365.4847132,0.137150085,0.042213255,3.248981519,0.00115819,0.003222797
IL28A,0.725170189,0.137008435,0.305121027,0.449029803,0.653410157,0.731640878
COX7A2,1797.819851,0.137006605,0.044418576,3.084443873,0.002039331,0.005324188
HERPUD1,2595.909894,0.136989195,0.041396519,3.309196016,0.000935643,0.0026826
ZNF761,513.4461027,0.136968889,0.041514852,3.299274452,0.000969351,0.0027673
GBP6,16.75679546,0.136954548,0.120464969,1.136882765,0.255587298,0.346124083
CRAT,2484.384718,0.136953822,0.092612858,1.478777612,0.139199761,0.208050174
CAMK2D,832.9036964,0.136890612,0.064465152,2.123482329,0.033713455,0.062042559
CDC42EP4,2297.205891,0.136881964,0.053201566,2.572893513,0.010085223,0.021770034
TDRKH,562.4967503,0.136878568,0.051713956,2.646840017,0.008124778,0.018013201
HIST1H2BO,7.928706694,0.136858158,0.115292277,1.187053997,0.235206323,0.323406397
NRSN2,1135.165738,0.136820257,0.045096564,3.033939757,0.002413826,0.006183851
GATC,35.04828202,0.136807891,0.046166661,2.963348146,0.003043122,0.007577858
DMXL2,607.5944768,0.136737262,0.052036467,2.627719926,0.008595926,0.018900062
LPIN2,1054.841645,0.136726699,0.047293301,2.891037316,0.003839725,0.009301257
RBBP9,803.8563639,0.136718235,0.041359396,3.305614912,0.000947682,0.002712518
NPTN,2536.263362,0.136686519,0.036756148,3.718738982,0.00020022,0.000684412
LDHA,14169.10459,0.136681167,0.046210023,2.957825153,0.003098178,0.007696409
ERC2,8.74688329,0.136637732,0.100397252,1.360970846,0.173522903,0.250570844
RAB21,1037.532925,0.13652141,0.032851813,4.155673515,3.24E-05,0.000134889
ALG12,589.9601781,0.136461401,0.039024345,3.496827448,0.000470826,0.001452222
AGPAT6,2845.42206,0.136446092,0.062036292,2.199455958,0.027845517,0.05253317
C12orf41,592.5470061,0.136428932,0.02375004,5.744366435,9.23E-09,8.69E-08
PDCD6IP,3878.434355,0.136374941,0.030343305,4.494399734,6.98E-06,3.44E-05
LINC02593,0.70565295,0.136324066,0.218526635,0.623832724,0.532737446,0.625410829
CAV3,0.35847789,0.13628923,0.266279237,0.511828229,0.608771232,0.692933668
APOD,7670.299447,0.136216844,0.139162692,0.978831625,0.327663181,0.42391538
LAS1L,1145.562498,0.136128591,0.032543677,4.182950549,2.88E-05,0.000121385
SNX4,957.31644,0.135978941,0.028391356,4.789448612,1.67E-06,9.56E-06
ZNF703,1046.815648,0.135940281,0.102905415,1.321021655,0.186494144,0.266119732
UBE2S,516.6014204,0.135912717,0.072960605,1.862823315,0.062487129,0.105347907
ZNF280A,1.745332366,0.135899586,0.335939889,0.404535425,0.685819033,0.758829926
C2CD4B,31.21108913,0.135898745,0.126297354,1.076022108,0.281917369,0.375250923
GRM5,2.2776699,0.135878125,0.104842275,1.296024198,0.194967148,0.276323554
HDHD1A,400.1597432,0.135837013,0.039673445,3.423877437,0.000617345,0.00184925
CACNB4,69.0273428,0.135782764,0.100252153,1.354412444,0.17560483,0.253027133
COQ10B,707.981012,0.135763453,0.030531313,4.446695504,8.72E-06,4.19E-05
GSS,1301.900956,0.135693276,0.045111635,3.007944086,0.002630215,0.006668399
ST6GAL2,248.4168586,0.135657425,0.089764026,1.511267156,0.130720398,0.197230898
LEMD3,737.959132,0.135655607,0.036085888,3.75924253,0.000170429,0.000593151
CKS2,732.746848,0.135586683,0.062716024,2.16191453,0.030624765,0.057101754
GRAMD4,827.5036284,0.135570038,0.040800512,3.322753379,0.000891337,0.002572622
SNRPB,3491.462347,0.135559525,0.047746233,2.83916694,0.004523149,0.010755055
NOX4,205.136605,0.13539478,0.072117849,1.877410144,0.060461902,0.10238832
