,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PAH,33.45769011,1.043193958,0.183247633,5.69280999,1.25E-08,1.14E-07
CSMD3,9.635647165,1.0410756,0.356174178,2.922939572,0.003467438,0.008510277
SLC5A5,9.734045539,1.040986021,0.159902897,6.510113568,7.51E-11,1.07E-09
FABP6,18.33466148,1.035843267,0.239992947,4.316140446,1.59E-05,7.13E-05
SOCS7,86.58163414,1.033351106,0.075486563,13.68920602,1.18E-42,3.59E-40
CECR2,59.60885972,1.033076107,0.147529345,7.002512666,2.51E-12,4.75E-11
RHBG,17.54169204,1.030997421,0.129102616,7.985875541,1.40E-15,4.67E-14
ALG1L,49.59480166,1.027935543,0.137787559,7.460292876,8.63E-14,2.12E-12
SRRM4,1.247673511,1.02082643,0.245215567,4.162975629,3.14E-05,0.000131144
HTR2C,2.420390937,1.02060003,0.403176951,2.531394781,0.01136099,0.024115847
ANKRD26P1,0.565449193,1.018854244,0.243270796,4.188148594,2.81E-05,0.000118935
KRT37,6.676779898,1.010093431,0.160756139,6.283389466,3.31E-10,4.17E-09
C10orf27,0.49486303,1.004638114,0.21338292,4.708146816,2.50E-06,1.36E-05
CPLX4,0.409976171,1.001989461,0.207375597,4.831761671,1.35E-06,7.88E-06
PIWIL3,0.18275358,1.000193766,0.643714199,1.553785464,0.120235599,0.183782208
TLCD1,268.5081114,0.999565992,0.069395186,14.40396728,4.89E-47,1.75E-44
NLGN4Y,0.939472414,0.993553652,0.222207215,4.471293382,7.77E-06,3.79E-05
FGL1,6.541157158,0.987607856,0.219654191,4.496194012,6.92E-06,3.41E-05
LASP1,9256.474024,0.986919156,0.051637476,19.11245937,1.99E-81,1.48E-78
EPN3,1000.083183,0.984583353,0.074828256,13.15790851,1.53E-39,4.13E-37
CISD3,1176.18265,0.9823611,0.061348151,16.01288854,1.04E-57,5.85E-55
CELP,0.590706194,0.982218867,0.519791979,1.889638369,0.058806342,0.100058472
FRG2B,0.550862307,0.981301911,0.385426859,2.546013306,0.010896104,0.023277812
TBC1D3G,22.48669734,0.979880981,0.247199445,3.963928726,7.37E-05,0.000280015
STK31,11.20277674,0.975737797,0.153796062,6.344361384,2.23E-10,2.88E-09
CCDC155,2.768767469,0.973689259,0.22064949,4.41283259,1.02E-05,4.81E-05
IGF2BP1,8.489875882,0.968278037,0.146476083,6.610485608,3.83E-11,5.80E-10
TCHHL1,1.03600832,0.967305782,0.423927685,2.281770728,0.02250288,0.043710816
PCGF2,1293.12565,0.96700162,0.057238467,16.89426149,4.96E-64,3.07E-61
LOC400940,2.858637839,0.965360435,0.221884204,4.350739781,1.36E-05,6.20E-05
GLRA3,52.75877092,0.96438446,0.260327064,3.704510951,0.000211799,0.000717793
SLC5A12,7.103627167,0.959964549,0.238373208,4.027149509,5.65E-05,0.000221014
CWC25,446.1833583,0.95891945,0.042595293,22.51233366,3.14E-112,3.25E-109
ST6GALNAC1,36.16765431,0.9554962,0.142502524,6.705117751,2.01E-11,3.18E-10
GTSF1,8.553036111,0.953764399,0.152283404,6.263088235,3.77E-10,4.67E-09
ARL5C,0.408974484,0.952109638,0.232166549,4.100976835,4.11E-05,0.000167053
SLC16A6,501.0578064,0.950185571,0.12521372,7.588510031,3.24E-14,8.51E-13
RDM1,17.1956551,0.948699557,0.08737804,10.85741401,1.84E-27,2.16E-25
MRPL45,1073.937989,0.944253219,0.043463664,21.72511763,1.19E-104,1.16E-101
TAS2R38,0.178580986,0.939614092,0.551896966,1.702517228,0.088658452,0.142163854
ABCC3,612.903372,0.938754439,0.095530432,9.826758043,8.64E-23,6.78E-21
TYRP1,26.81132983,0.9387401,0.184353974,5.092052436,3.54E-07,2.38E-06
MAGEB6,0.328080373,0.937550035,0.43688307,2.145997635,0.031873167,0.059080032
POTEH,0.858672373,0.937231238,0.190010556,4.932521942,8.12E-07,4.99E-06
SLITRK1,7.779690866,0.933024396,0.259399005,3.596869604,0.00032207,0.00103868
DDC,10.35494554,0.932002673,0.256903009,3.627838687,0.000285804,0.000936021
TRIM36,237.8639687,0.930388385,0.114147397,8.150763069,3.62E-16,1.30E-14
CALR3,0.532786807,0.925833408,0.183397484,5.048233965,4.46E-07,2.92E-06
RARA,2687.006998,0.923879406,0.063895039,14.45932934,2.19E-47,7.98E-45
CSTL1,0.492785417,0.921375988,0.282558688,3.260830498,0.001110864,0.003110186
FAM9A,0.232519148,0.920546584,0.604835838,1.521977578,0.128014699,0.193714538
ZP1,5.083566719,0.919285733,0.17360068,5.295403977,1.19E-07,8.83E-07
FAM83A-AS1,2.129928122,0.919027504,0.216148134,4.251841025,2.12E-05,9.23E-05
GPC1-AS1,115.1996123,0.916046926,0.140552085,6.517490834,7.15E-11,1.03E-09
SLCO1B7,1.154069847,0.911609139,0.433021168,2.105229965,0.035271295,0.064504505
ASCL4,4.759545019,0.91104924,0.191425872,4.759279567,1.94E-06,1.09E-05
ITGB6,1837.010947,0.910507715,0.113551347,8.018466862,1.07E-15,3.61E-14
GIF,0.195286581,0.90851541,0.745155957,1.219228541,0.222757462,0.308815298
LHX8,2.080067956,0.904903089,0.236554043,3.825354573,0.000130584,0.000467603
SLIT1,45.19288822,0.902839493,0.158205084,5.706766627,1.15E-08,1.06E-07
0.3,0.518467213,0.90161952,0.235354659,3.830897259,0.000127677,0.000457987
PIP4K2B,2413.127752,0.899234986,0.042300477,21.25827054,2.76E-100,2.45E-97
UGT1A7,3.163187516,0.897778618,0.570333547,1.574129072,0.115457613,0.177661631
NCRNA00185,0.108525923,0.89704859,2.19944275,0.407852666,0.683381845,0.756740828
GDPD2,13.28465857,0.893267455,0.205160564,4.353992013,1.34E-05,6.11E-05
SULT1E1,5.190674613,0.892364401,0.27791774,3.210893993,0.001323227,0.003631505
SNX31,2.376037763,0.892339656,0.166393488,5.362827986,8.19E-08,6.33E-07
SLC25A18,32.95870259,0.890685137,0.118678106,7.505050123,6.14E-14,1.55E-12
ABCA12,554.3738601,0.889741408,0.154908362,5.743662883,9.27E-09,8.72E-08
BAGE,0.735723679,0.888330119,0.58964544,1.50654963,0.131926137,0.198695783
SPATA3,0.350321946,0.886656911,0.45219572,1.960781299,0.049904541,0.086932148
ART1,0.763204391,0.886539032,0.218821388,4.051427699,5.09E-05,0.000202135
GABRA3,11.2061878,0.886313946,0.322631323,2.747141656,0.006011716,0.013831261
KCNJ1,2.218743506,0.885103084,0.125860542,7.032411195,2.03E-12,3.89E-11
TH,10.03062247,0.884665807,0.214044938,4.133084469,3.58E-05,0.000147053
PRR15L,1004.612598,0.883934559,0.074409683,11.87929485,1.52E-32,2.26E-30
SYNPO2L,68.90114743,0.881608492,0.186288527,4.732489475,2.22E-06,1.23E-05
ABCC11,1207.976373,0.881590944,0.161631527,5.454325389,4.92E-08,3.98E-07
CNTNAP5,0.396626304,0.880155185,0.346758572,2.538236271,0.011141274,0.023721511
S100P,1254.049944,0.880097652,0.14524008,6.059605963,1.36E-09,1.53E-08
GSG1,0.485085802,0.877086065,0.207963672,4.217496542,2.47E-05,0.000105669
C12orf56,4.053600198,0.877038541,0.366726726,2.391531562,0.016778241,0.033908346
RAX,0.571525006,0.876952673,0.321583716,2.726980966,0.006391673,0.014615038
PROKR1,1.011590193,0.874654603,0.249436661,3.506519849,0.000454008,0.001407265
FAM3B,296.6508121,0.868656357,0.162323837,5.351378912,8.73E-08,6.71E-07
CTAG2,2.966355724,0.866725901,0.50835587,1.70495897,0.088202077,0.141505256
KIAA1751,4.333981248,0.865633767,0.153296782,5.646783684,1.63E-08,1.46E-07
NOTO,0.311707223,0.860913151,0.454179139,1.895536533,0.058021357,0.098912852
DDX53,0.523798582,0.860678217,0.625289283,1.376448055,0.168682959,0.244683696
MAGEC2,9.33671738,0.860631895,0.389438936,2.209927704,0.02711018,0.051362152
MYH15,4.918042995,0.858427141,0.128832439,6.663128876,2.68E-11,4.17E-10
HPD,3.116885104,0.857660798,0.181953104,4.713636532,2.43E-06,1.33E-05
SRPK3,84.97848767,0.856859308,0.129063218,6.639066676,3.16E-11,4.85E-10
RPL23,13276.33453,0.856692481,0.057928206,14.78886607,1.73E-49,7.31E-47
NPC1L1,36.67267449,0.856408914,0.135353868,6.327184656,2.50E-10,3.20E-09
DSCR4,0.596620591,0.856026418,0.946007355,0.90488347,0.365527125,0.463461783
SP8,0.404194486,0.855207248,0.530374214,1.61246008,0.10686186,0.166403528
AMBP,35.24678655,0.851563259,0.154441966,5.513807418,3.51E-08,2.94E-07
HIST1H2BM,0.668709938,0.847221883,0.207808497,4.076935721,4.56E-05,0.000183509
CPB2,1.538543969,0.84627615,0.259522764,3.260893711,0.001110617,0.003110098
PADI3,37.06074357,0.845601356,0.201418818,4.198224203,2.69E-05,0.000114129
PAX7,47.18010477,0.844591572,0.306894688,2.752056664,0.005922227,0.013649009
